1704404582,bid,7.862,71.44
1704404582,bid,7.861,73.38
1704404582,bid,7.86,359.2
1704404582,bid,7.859,134.74
1704404582,bid,7.858,2955.41
1704404582,bid,7.857,1247.37
1704404582,bid,7.856,1530.85
1704404582,bid,7.855,1570.38
1704404582,bid,7.854,43.36
1704404582,bid,7.853,1158.61
1704404582,ask,7.863,35.68
1704404582,ask,7.864,225.53
1704404582,ask,7.865,316.49
1704404582,ask,7.866,773.86
1704404582,ask,7.867,819.66
1704404582,ask,7.868,112.36
1704404582,ask,7.869,125.56
1704404582,ask,7.87,774.17
1704404582,ask,7.871,1046.08
1704404582,ask,7.872,1379.38
1704404648,bid,7.854,400.82
1704404648,bid,7.853,36.7
1704404648,bid,7.852,241.96
1704404648,bid,7.851,469.9
1704404648,bid,7.85,2338.92
1704404648,bid,7.849,968.82
1704404648,bid,7.848,908.36
1704404648,bid,7.847,1944.95
1704404648,bid,7.846,654.67
1704404648,bid,7.845,55.74
1704404648,ask,7.855,1.62
1704404648,ask,7.856,219.83
1704404648,ask,7.857,769.52
1704404648,ask,7.858,1488.03
1704404648,ask,7.859,722.24
1704404648,ask,7.86,850.46
1704404648,ask,7.861,1287.56
1704404648,ask,7.862,1119.74
1704404648,ask,7.863,1873.46
1704404648,ask,7.864,3142.97
1704404715,bid,7.85,359.09
1704404715,bid,7.849,39.01
1704404715,bid,7.848,36.8
1704404715,bid,7.847,580.77
1704404715,bid,7.846,2231.29
1704404715,bid,7.845,956.91
1704404715,bid,7.844,2446.43
1704404715,bid,7.843,2978.54
1704404715,bid,7.842,500.83
1704404715,bid,7.841,625.98
1704404715,ask,7.851,78.85
1704404715,ask,7.852,211.94
1704404715,ask,7.853,543.9
1704404715,ask,7.854,783.95
1704404715,ask,7.855,994.48
1704404715,ask,7.856,988.84
1704404715,ask,7.857,638.42
1704404715,ask,7.858,260.29
1704404715,ask,7.859,3476.44
1704404715,ask,7.86,1312.97
